learn_id,learning_name,num_learnning_str,number,from_language
zh-CN,Chinese (Simplified),9.35M,9347743,English
fr,French,430 tys.,429573,Polish
sv,Swedish,272K,272490,Spanish
it,Italian,119 tn,118516,Swedish
ko,Korean,"79,2 E",79158,Hungarian
zh-CN,Chinese (Simplified),167 tys.,166610,Polish
zh-CN,Chinese (Simplified),"44,2 tn",44169,Swedish
it,Italian,49.7K,49670,Tamil
it,Italian,150 χιλ.,149772,Greek
ro,Romanian,884K,884433,English
ko,Korean,245万,2445495,Japanese
en,English,,0,Bulgarian
ko,Korean,122K,121889,Tamil
zh-CN,Chinese (Simplified),"1,62 млн",1615724,Russian
ja,Japanese,882万,8820036,Chinese (Simplified)
de,German,29.4万,294239,Japanese
pt,Portuguese,305 тыс.,305113,Russian
ja,Japanese,"85,3 tn",85258,Swedish
zh-CN,Chinese (Simplified),"50,8 tis.",50833,Czech
ko,Korean,,0,Korean
hi,Hindi,14.1M,14139671,English
zh-HK,Chinese (Cantonese),,0,Chinese (Cantonese)
it,Italian,135 тис,135052,Ukrainian
zh-CN,Chinese (Simplified),630 mil,630093,Portuguese
fr,French,731 B,730668,Turkish
de,German,40.2K,40210,Tamil
de,German,735 Mila,734741,Italian
zh-WU,Chinese (Shanghainese),,0,Chinese (Shanghainese)
pt,Portuguese,11.0万,110047,Japanese
fr,French,17.1K,17146,Telugu
en,English,"18,1 M",18084163,French
it,Italian,"2,11 Mio",2108750,German
en,English,"4,79 mln",4789341,Polish
en,English,"1,64 mil.",1638847,Romanian
ja,Japanese,3.23 ส.,323347,Thai
ko,Korean,"99,1 тис",99060,Ukrainian
es,Spanish,42.2만,421889,Korean
fr,French,93.1K,93068,Tagalog
es,Spanish,"1,02 mln",1018282,Polish
ja,Japanese,18.6M,18577465,English
en,English,1.99Cr,19930190,Hindi
it,Italian,425 B,424897,Turkish
ko,Korean,101 tis.,100688,Czech
it,Italian,175 N,175100,Vietnamese
es,Spanish,2.57L,256849,Hindi
ga,Irish,1.54M,1540822,English
es,Spanish,191 E,190744,Hungarian
la,Latin,1.82M,1820414,English
zh-CN,Chinese (Simplified),78.8만,787801,Korean
ja,Japanese,"1,14 M",1143430,French
el,Greek,2.57M,2568488,English
fr,French,184 tn,183557,Swedish
ko,Korean,"74,2 χιλ.",74213,Greek
de,German,394 tis.,394312,Czech
eo,Esperanto,309K,309347,English
gn,Guarani,"64,3K",64252,Spanish
tlh,Klingon,291K,290815,English
zh-CN,Chinese (Simplified),,0,Chinese (Simplified)
fr,French,337 N,336919,Vietnamese
ko,Korean,938 B,937651,Turkish
en,English,6.48M,6481985,Bengali
es,Spanish,,0,Spanish
en,English,,0,Finnish
en,English,,0,Norwegian (Bokmål)
zh-CN,Chinese (Simplified),"35,2 χιλ.",35223,Greek
ko,Korean,"1,07 Tr",1071544,Vietnamese
tr,Turkish,3.97M,3965288,English
de,German,"2,25 Mn",2251622,Turkish
ja,Japanese,"1,12 млн",1115424,Russian
es,Spanish,"3,39 Mio",3391119,German
es,Spanish,"1,66 Mln",1655381,Italian
it,Italian,13.0만,130454,Korean
en,English,"23,1 mi",23107857,Portuguese
uk,Ukrainian,,0,Russian
ko,Korean,589K,589377,Bengali
zh-CN,Chinese (Simplified),"73,5 тис",73501,Ukrainian
it,Italian,22.1万,221448,Japanese
zh-CN,Chinese (Simplified),3.89L,388984,Hindi
zh-HK,Chinese (Cantonese),721万,7209710,Chinese (Simplified)
es,Spanish,"1,03 mln.",1027558,Dutch
de,German,472 E,471758,Hungarian
ko,Korean,502 Tsd,501629,German
it,Italian,210K,210280,Bengali
ja,Japanese,107 тис,106798,Ukrainian
es,Spanish,176 тис,176184,Ukrainian
de,German,423K,422904,Indonesian
ru,Russian,"1,28 Mn",1278307,Turkish
pt,Portuguese,77.9K,77915,Bengali
ja,Japanese,370 Mila,370420,Italian
fi,Finnish,945K,944746,English
fr,French,278 K,278137,Romanian
ja,Japanese,816 ألف,815537,Arabic
fr,French,3.86 مليون,3859267,Arabic
ht,Haitian Creole,448K,448079,English
it,Italian,386K,385983,Dutch
de,German,"3,13 млн",3125372,Russian
ko,Korean,233 Mila,233152,Italian
ko,Korean,263 tys.,263369,Polish
en,English,2.97 ล.,2971357,Thai
fr,French,22.9M,22918180,English
eo,Esperanto,"18,5 k",18529,French
de,German,281 K,281204,Romanian
pt,Portuguese,161K,160928,Dutch
en,English,,0,Traditional Chinese
es,Spanish,359 tn,359350,Swedish
es,Spanish,289K,288659,Tagalog
vi,Vietnamese,1.88M,1877556,English
en,English,"10,8 Tr",10751156,Vietnamese
en,English,"1,61 mln.",1607244,Dutch
zh-CN,Chinese (Simplified),226K,225630,Bengali
fr,French,50.0万,499633,Japanese
ja,Japanese,612 B,611782,Turkish
it,Italian,4.42L,441718,Hindi
ko,Korean,"1,42 млн",1418616,Russian
zh-CN,Chinese (Simplified),"41,6 E",41570,Hungarian
pt,Portuguese,123 B,122762,Turkish
de,German,857 tys.,857224,Polish
pt,Portuguese,2.75 ม.,27498,Thai
zh-CN,Chinese (Simplified),108万,1077723,Japanese
zh-CN,Chinese (Simplified),"1,27M",1266651,Indonesian
de,German,169 tn,169247,Swedish
it,Italian,"2,46 mi",2464101,Portuguese
en,English,"9,86M",9858057,Indonesian
es,Spanish,"1,67 млн",1670233,Russian
ko,Korean,"1,06M",1058438,Indonesian
en,English,2770万,27694531,Chinese (Simplified)
zh-CN,Chinese (Simplified),31.5K,31490,Tamil
zh-CN,Chinese (Simplified),6.61 ส.,661410,Thai
ja,Japanese,354 tys.,354435,Polish
ko,Korean,1.99 ส.,199054,Thai
fr,French,29.8만,297793,Korean
en,English,"1,31 M",1306519,Hungarian
ja,Japanese,234만,2337864,Korean
pt,Portuguese,12.1K,12123,Tamil
zh-CN,Chinese (Simplified),127K,126729,Dutch
it,Italian,10.6M,10632592,English
en,English,,0,Marathi
en,English,,0,Gujarati
en,English,765万,7652243,Japanese
pt,Portuguese,"30,5 χιλ.",30542,Greek
pt,Portuguese,285 Mila,284661,Italian
ja,Japanese,10.9L,1090822,Hindi
pt,Portuguese,"40,9 tis.",40923,Czech
en,English,"2,17 млн",2173656,Ukrainian
it,Italian,25.0K,25001,Telugu
fr,French,219K,219267,Indonesian
eo,Esperanto,"35,1K",35116,Spanish
es,Spanish,"5,48 M",5476363,French
it,Italian,845 тыс.,845427,Russian
en,English,"4,50 Mln",4503998,Italian
ja,Japanese,951 N,950938,Vietnamese
es,Spanish,864 B,863761,Turkish
ja,Japanese,163K,163391,Dutch
pt,Portuguese,"38,4 tn",38387,Swedish
zh-CN,Chinese (Simplified),679 k,679414,French
en,English,20.8 مليو,20823392,Arabic
ar,Arabic,6.73M,6728655,English
es,Spanish,1.48 مليون,1481501,Arabic
pt,Portuguese,21.2K,21248,Tagalog
hw,Hawaiian,744K,743534,English
de,German,16.0M,15997305,English
ko,Korean,915 k,915045,French
en,English,,0,Serbian
it,Italian,698 ألف,698004,Arabic
it,Italian,107K,106749,Indonesian
en,English,29.1M,29118872,English
nv,Navajo,282K,282490,English
ja,Japanese,"1,73M",1725728,Indonesian
he,Hebrew,1.31M,1310556,English
en,English,,0,Danish
fr,French,"1,98 млн",1983290,Russian
fr,French,"1,09 mln.",1092634,Dutch
de,German,737K,737454,Dutch
zh-CN,Chinese (Simplified),486 ألف,486165,Arabic
pt,Portuguese,"7,38M",7383581,Spanish
it,Italian,2.80 ม.,28005,Thai
de,German,,0,German
en,English,,0,Malay (Malaysia)
fr,French,3.74L,374265,Hindi
de,German,"2,89M",2888921,Spanish
es,Spanish,7.17 ม.,71723,Thai
no-BO,Norwegian (Bokmål),1.48M,1479736,English
fr,French,"92,7 E",92679,Hungarian
sv,Swedish,1.93M,1925635,English
it,Italian,204 tis.,203542,Czech
de,German,75.6K,75574,Tagalog
it,Italian,53.2万,532154,Chinese (Simplified)
ko,Korean,971 ألف,970527,Arabic
pt,Portuguese,163 N,163293,Vietnamese
ja,Japanese,,0,Japanese
pt,Portuguese,4.53M,4529084,English
uk,Ukrainian,950K,949988,English
it,Italian,,0,Italian
ja,Japanese,707 Tsd,706676,German
pt,Portuguese,,0,Portuguese
en,English,1.11M,1113520,Tagalog
fr,French,"1,14 Mln",1139793,Italian
zh-CN,Chinese (Simplified),"3,13 Tr",3129934,Vietnamese
fr,French,35.9K,35907,Tamil
pt,Portuguese,"36,4 тис",36403,Ukrainian
zh-CN,Chinese (Simplified),338 Tsd,337698,German
de,German,96.7万,966944,Chinese (Simplified)
en,English,1.21M,1210535,Telugu
fr,French,175 тис,174857,Ukrainian
en,English,,0,Malayalam
zh-CN,Chinese (Simplified),"56,8 K",56801,Romanian
zu,Zulu,726K,725708,English
fr,French,195万,1946799,Chinese (Simplified)
it,Italian,41.2K,41209,Tagalog
pt,Portuguese,105 tys.,104720,Polish
fr,French,"7,08M",7082762,Spanish
ko,Korean,12.5L,1245527,Hindi
fr,French,"2,63 Mio",2630447,German
fr,French,"3,12 mi",3115695,Portuguese
en,English,1.43M,1427633,Tamil
en,English,"54,5M",54526772,Spanish
de,German,21.6만,216398,Korean
zh-CN,Chinese (Simplified),197 Mila,196835,Italian
de,German,"1,38 mi",1378726,Portuguese
pt,Portuguese,"26,8 E",26801,Hungarian
pt,Portuguese,7.01만,70069,Korean
es,Spanish,36.7万,366802,Japanese
ja,Japanese,"41,7 χιλ.",41733,Greek
en,English,452만,4519888,Korean
pt,Portuguese,"1,17 M",1171994,French
hu,Hungarian,582K,582240,English
ja,Japanese,"75,4 K",75376,Romanian
en,English,"1,99 mil.",1993231,Czech
de,German,"2,05 M",2053857,French
it,Italian,"6,00M",6002769,Spanish
ko,Korean,"59,4 tn",59414,Swedish
it,Italian,"2,57 M",2571040,French
nl-NL,Dutch,2.73M,2732254,English
it,Italian,528 tys.,528212,Polish
cy,Welsh,611K,611333,English
it,Italian,156 E,155612,Hungarian
en,English,,0,Urdu
de,German,133 χιλ.,133191,Greek
ko,Korean,137K,137112,Dutch
es,Spanish,185 N,184839,Vietnamese
de,German,7.58 ม.,75803,Thai
en,English,,0,Kannada
ko,Korean,"2,94M",2942107,Spanish
ja,Japanese,"64,2 E",64158,Hungarian
zh-CN,Chinese (Simplified),"1,43M",1428751,Spanish
pt,Portuguese,221 ألف,221294,Arabic
de,German,378 N,378035,Vietnamese
ca,Catalan,"1,12M",1119314,Spanish
cs,Czech,779K,778956,English
de,German,3.43L,342608,Hindi
es,Spanish,186 χιλ.,185894,Greek
eo,Esperanto,"26,4 mil",26412,Portuguese
en,English,,0,Farsi
pt,Portuguese,"49,0 K",49038,Romanian
en,English,,0,Slovak
fr,French,151 tis.,150552,Czech
pt,Portuguese,"85,4K",85367,Indonesian
ko,Korean,12.8M,12809322,English
de,German,1.95 مليون,1947246,Arabic
fr,French,127 χιλ.,127354,Greek
